comment,rate,created_at,operator_name
easy and fast,5,2016-04-22 12:59:28 UTC,CamPost
We traveled from Phnom Penh to Siem Reap by Seila Angkor van. The driver was professional and it was a smooth ride. It took us only 5 hours to get to Siem Reap (including one short stay at gas station and lunch break at Kompong Thom for 30 minutes).,5,2016-08-14 04:01:37 UTC,Seila Angkor Khmer Express
Booking tickets thru bookmebus.com is always easy and reliable. My guests were fetched at the guesthouse as requested. Travelling with Virak Buntham transport makes my guests feel safe.,5,2016-10-01 11:06:40 UTC,Virak Buntham Old
,5,2016-10-13 13:05:21 UTC,delete khai nam
"In Mekong express There was no wifi. The driver was running very very fast and after all we did 5,45h and not 5h which was said to internet page.overal:worse trip ever.",1.2,2017-01-25 12:32:54 UTC,Mekong Express
"Trip went smoothly, border crossing was easy, food and beverage provided. Free tuk tuk ride to hostel if you want it, i didn't use it but others did. Happy with service. Would use again.",4,2017-01-26 10:57:50 UTC,Nattakan
Best bus i had in cambodia. Very professionel.,4.6,2017-01-26 12:00:43 UTC,PSD Xpress
"Clean and well temperatures bus, comfort was ok. Very fast driving with a lot of overtaking but i I still felt safe. ",3.2,2017-01-26 13:51:01 UTC,Bayon VIP
The roads were very scary. ,3,2017-01-27 00:50:01 UTC,Mekong Express
,5,2017-01-27 10:50:22 UTC,CamPost
"My wife and I am very happy with the service we received from your company. The bus was comfortable, breakfast and lunch served were more than satisfactory and the two young stewards were very helpful especially at the border crossing. Thank you very much",5,2017-01-27 15:36:32 UTC,Nattakan
Wonderful trip. V. Good bus. Excellent driver and stewards and food on board. Thank you very much.,5,2017-01-28 04:20:34 UTC,Nattakan
"The booking process was surprisingly easy, but I feel like the credit card fee is a bit harsh. They guys I was chatting with were very helpful until I asked for a new pdf file for my e-ticket as the one they sent was showing some kind of booking mistake.",4.4,2017-01-28 06:01:45 UTC,Mekong Explore
"The booking process was surprisingly easy, but I feel like the credit card fee is a bit harsh. They guys I was chatting with were very helpful until I asked for a new pdf file for my e-ticket as the one they sent was showing some kind of booking mistake.",4.4,2017-01-28 06:29:31 UTC,Mekong Explore
"Dangerous driving, doesn't feel safe as the driver was speeding and overtaking slower moving vehicles even there are oncoming vehicles on the opposite direction.  Although we arrived earlier than expected, I would prefer a safer than fast journey.",2.8,2017-01-28 06:45:11 UTC,CamPost
"Dangerous driving!  The driver was speeding and overtaking slower moving vehicles in a dangerous manner even when there are oncoming traffic on the left lane. Although we arrived earlier than expected, I would prefer a safer journey instead.",2.2,2017-01-28 06:48:50 UTC,CamPost
"The seats were very nice and comfortable, but driver was terrible. The AC was cold and when we asked him to turn it down he rudely refused. He stopped us at a bakery then again at a restaurant 30 minutes later so were 90 minutes late. No baggage ticket. ",2.2,2017-01-28 10:54:27 UTC,Phnom Penh Sorya
